algo,data,filename,jsd,loss_type,mae,mape,mean_std,rmse,smape,std_ae,std_ape,sub_data,tuning_algo
GruGan,traffic,"la-[4, 1]_ac-tanh_dr-0.443_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.093_ou-sigmoid_ce-gru_in-[5, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-5_is-False_lo-loss_gan_.csv",0.114,loss_gan,169461438.108,0.048,1147788160.1180794,234070708.848,0.047,350525981.09,0.097,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[16, 1]_ac-tanh_dr-0.327_ou-tanh_ce-gru_co-after_la-[64, 1]_ac-tanh_dr-0.131_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_.csv",0.112,loss_gan,161322026.018,0.045,1075988687.7345235,221001900.424,0.046,197502276.342,0.053,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[16, 1]_ac-tanh_dr-0.26_ou-tanh_ce-gru_co-after_la-[32, 1]_ac-tanh_dr-0.374_ou-sigmoid_ce-gru_in-[4, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.135,loss_gan,217329505.542,0.06,1170679445.4397979,289754363.295,0.058,462916233.47,0.125,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.449_ou-tanh_ce-gru_co-after_la-[16, 1]_ac-tanh_dr-0.156_ou-sigmoid_ce-gru_in-[3, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.355,loss_gan,1127068814.689,0.3,408255731.8946772,1294738548.368,0.354,637339238.154,0.034,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[32, 1]_ac-tanh_dr-0.47_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.398_ou-sigmoid_ce-gru_in-[3, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_.csv",0.098,loss_gan,152000198.983,0.044,1140528739.6899745,210604312.632,0.043,304691940.776,0.086,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.316_ou-tanh_ce-gru_co-after_la-[16, 1]_ac-tanh_dr-0.114_ou-sigmoid_ce-gru_in-[2, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.27,loss_gan,549317079.274,0.146,789186231.330717,646615866.728,0.158,341687199.144,0.042,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[32, 1]_ac-tanh_dr-0.093_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.151_ou-sigmoid_ce-gru_in-[1, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-4_is-False_lo-loss_gan_.csv",0.247,loss_gan,484244293.052,0.129,936098803.7146924,575544176.255,0.139,313160548.07,0.045,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[4, 1]_ac-tanh_dr-0.237_ou-tanh_ce-gru_co-after_la-[32, 1]_ac-tanh_dr-0.159_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.083,loss_gan,133908255.655,0.039,1152106882.5512319,185757766.53,0.039,223337367.385,0.065,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.236_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.205_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.174,loss_gan,272922068.996,0.073,1099875892.7312887,348654407.954,0.077,229600842.373,0.049,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[2, 1]_ac-tanh_dr-0.104_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.408_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.115,loss_gan,187953886.544,0.053,1242257878.4643352,257967609.728,0.051,394992558.769,0.107,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.156_ou-tanh_ce-gru_co-after_la-[16, 1]_ac-tanh_dr-0.067_ou-sigmoid_ce-gru_in-[3, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.247,loss_gan,588538849.543,0.158,932043156.2918468,697650224.705,0.145,1234438159.281,0.32,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[2, 1]_ac-tanh_dr-0.352_ou-tanh_ce-gru_co-after_la-[8, 1]_ac-tanh_dr-0.207_ou-sigmoid_ce-gru_in-[5, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.085,loss_gan,142309782.334,0.04,1189441731.3190444,197694772.433,0.04,235337704.117,0.066,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.303_ou-tanh_ce-gru_co-after_la-[16, 1]_ac-tanh_dr-0.26_ou-sigmoid_ce-gru_in-[3, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.37,loss_gan,1365792203.495,0.364,213214488.21108663,1563596445.143,0.446,761342053.738,0.028,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.433_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.357_ou-sigmoid_ce-gru_in-[1, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_.csv",0.234,loss_gan,525968750.075,0.142,1082610969.3887045,627014569.513,0.132,1104974617.549,0.289,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.314_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.309_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.37,loss_gan,1391115821.773,0.371,248502103.5747397,1592018262.28,0.456,774288020.804,0.028,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.212_ou-tanh_ce-gru_co-after_la-[32, 1]_ac-tanh_dr-0.3_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.09,loss_gan,135967728.691,0.039,977101390.9508305,191942654.809,0.038,267661027.557,0.076,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.014_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.324_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.37,loss_gan,1393091562.621,0.371,181770218.21637768,1594146659.07,0.457,775114781.101,0.027,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.232_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.195_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.144,loss_gan,224828508.229,0.063,1153487188.1774538,295531133.562,0.06,477686430.358,0.13,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[32, 1]_ac-tanh_dr-0.082_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.147_ou-sigmoid_ce-gru_in-[1, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-4_is-False_lo-loss_gan_.csv",0.225,loss_gan,400103751.074,0.106,957602114.6664976,485611120.523,0.113,278918487.822,0.046,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.302_ou-tanh_ce-gru_co-after_la-[16, 1]_ac-tanh_dr-0.257_ou-sigmoid_ce-gru_in-[3, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.365,loss_gan,1329577611.336,0.354,279071018.593887,1523592639.522,0.431,744140687.474,0.03,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[4, 1]_ac-tanh_dr-0.083_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.418_ou-sigmoid_ce-gru_in-[1, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.109,loss_gan,168919088.78,0.048,1252933697.00271,232918379.69,0.047,345788049.317,0.096,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.377_ou-tanh_ce-gru_co-after_la-[32, 1]_ac-tanh_dr-0.31_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.281,loss_gan,602611800.796,0.16,772498975.5144088,707931970.856,0.175,372222882.193,0.043,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.371_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.252_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.226,loss_gan,421769227.635,0.112,1093024386.9870193,509844158.144,0.12,290821382.605,0.048,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.352_ou-tanh_ce-gru_co-after_la-[16, 1]_ac-tanh_dr-0.051_ou-sigmoid_ce-gru_in-[3, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.351,loss_gan,1086016309.665,0.289,496419383.83794105,1248647332.423,0.339,616293203.92,0.036,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.26_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.124_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.364,loss_gan,1356009705.432,0.362,300702960.9991435,1551864627.428,0.442,754794295.139,0.028,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.196_ou-tanh_ce-gru_co-after_la-[32, 1]_ac-tanh_dr-0.499_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.351,loss_gan,1092856437.223,0.291,508172582.1997596,1257119241.97,0.341,621405149.29,0.036,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[32, 1]_ac-tanh_dr-0.294_ou-tanh_ce-gru_co-after_la-[8, 1]_ac-tanh_dr-0.402_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_.csv",0.38,loss_gan,1465130444.388,0.391,99673.17736721398,1675737208.141,0.486,813456853.785,0.026,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[32, 1]_ac-tanh_dr-0.351_ou-tanh_ce-gru_co-after_la-[8, 1]_ac-tanh_dr-0.286_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_.csv",0.38,loss_gan,1465153962.36,0.391,2904.7918035987723,1675763810.041,0.486,813469299.833,0.026,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[16, 1]_ac-tanh_dr-0.299_ou-tanh_ce-gru_co-after_la-[64, 1]_ac-tanh_dr-0.184_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_.csv",0.208,loss_gan,351471761.055,0.093,997998252.2064403,436881781.99,0.099,264044016.347,0.048,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[32, 1]_ac-tanh_dr-0.361_ou-tanh_ce-gru_co-after_la-[8, 1]_ac-tanh_dr-0.285_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_.csv",0.38,loss_gan,1465043126.863,0.391,475447.43577585544,1675637640.502,0.486,813408995.293,0.026,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.5_ou-tanh_ce-gru_co-after_la-[32, 1]_ac-tanh_dr-0.5_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.243,loss_gan,464081383.807,0.123,890760206.925882,555931674.316,0.132,308078771.885,0.046,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.111_ou-tanh_ce-gru_co-after_la-[64, 1]_ac-tanh_dr-0.049_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-4_is-False_lo-loss_gan_.csv",0.08,loss_gan,137644409.881,0.039,1189128979.2285295,191496740.502,0.04,228260619.826,0.065,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.103_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.183_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.322,loss_gan,812889065.107,0.216,909310800.6436176,943382905.192,0.243,479442730.246,0.042,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.274_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.088_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.152,loss_gan,246940554.915,0.068,1151881928.6097672,320911795.874,0.065,525591952.644,0.142,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.152_ou-tanh_ce-gru_co-after_la-[16, 1]_ac-tanh_dr-0.385_ou-sigmoid_ce-gru_in-[3, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.328,loss_gan,811499801.638,0.216,656356771.7491045,937901141.019,0.243,470407244.837,0.039,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.24_ou-tanh_ce-gru_co-after_la-[64, 1]_ac-tanh_dr-0.203_ou-sigmoid_ce-gru_in-[4, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.082,loss_gan,138662486.603,0.04,1169745347.552552,191387438.902,0.04,229011930.8,0.066,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[2, 1]_ac-tanh_dr-0.312_ou-tanh_ce-gru_co-after_la-[32, 1]_ac-tanh_dr-0.441_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-5_is-False_lo-loss_gan_.csv",0.093,loss_gan,142947010.611,0.041,1203777692.4992738,197386175.983,0.041,251692009.947,0.071,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.311_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.015_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.308,loss_gan,728790991.727,0.194,908215376.2213705,848741624.489,0.216,435454467.523,0.043,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.326_ou-tanh_ce-gru_co-after_la-[16, 1]_ac-tanh_dr-0.307_ou-sigmoid_ce-gru_in-[4, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.24,loss_gan,442304431.441,0.118,805692722.503497,528247274.545,0.126,290912614.437,0.043,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[32, 1]_ac-tanh_dr-0.464_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.405_ou-sigmoid_ce-gru_in-[3, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_.csv",0.37,loss_gan,1382492136.339,0.368,200528213.30891967,1582959289.475,0.452,771152979.327,0.028,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.293_ou-tanh_ce-gru_co-after_la-[16, 1]_ac-tanh_dr-0.267_ou-sigmoid_ce-gru_in-[8, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.362,loss_gan,1319737279.932,0.351,235983157.3805594,1513678670.255,0.427,741419435.516,0.031,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.302_ou-tanh_ce-gru_co-after_la-[16, 1]_ac-tanh_dr-0.258_ou-sigmoid_ce-gru_in-[3, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.373,loss_gan,1387671355.549,0.37,133203233.52639037,1588568686.538,0.455,773382931.817,0.028,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[4, 1]_ac-tanh_dr-0.306_ou-tanh_ce-gru_co-after_la-[16, 1]_ac-tanh_dr-0.309_ou-sigmoid_ce-gru_in-[5, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-5_is-False_lo-loss_gan_.csv",0.076,loss_gan,139781431.571,0.041,1213573801.096392,192023637.83,0.04,252292450.293,0.072,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[8, 1]_ac-tanh_dr-0.0_ou-tanh_ce-gru_co-after_la-[2, 1]_ac-tanh_dr-0.0_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-2_is-False_lo-loss_gan_.csv",0.135,loss_gan,204717572.449,0.057,1121777264.6789806,272178881.205,0.059,207830560.047,0.052,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.285_ou-tanh_ce-gru_co-after_la-[32, 1]_ac-tanh_dr-0.359_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.314,loss_gan,730983359.188,0.194,713142977.1550128,850661005.359,0.216,435415682.807,0.042,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[32, 1]_ac-tanh_dr-0.319_ou-tanh_ce-gru_co-after_la-[4, 1]_ac-tanh_dr-0.056_ou-sigmoid_ce-gru_in-[1, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-4_is-False_lo-loss_gan_.csv",0.265,loss_gan,537530276.7,0.143,973742309.9309361,635167365.621,0.155,340162067.851,0.045,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.334_ou-tanh_ce-gru_co-after_la-[32, 1]_ac-tanh_dr-0.458_ou-sigmoid_ce-gru_in-[6, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-3_is-False_lo-loss_gan_.csv",0.291,loss_gan,632392556.937,0.168,762708852.1592084,741159833.016,0.184,387080185.392,0.043,internet-traffic-data-in-bits-fr_EU_5m,bayes
GruGan,traffic,"la-[64, 1]_ac-tanh_dr-0.085_ou-tanh_ce-gru_co-after_la-[32, 1]_ac-tanh_dr-0.055_ou-sigmoid_ce-gru_in-[7, 1]_ou-[1, 1]_no-[32, 1]_op-adam_op-adam_le-0.004_le-0.01_nu-1_is-False_lo-loss_gan_.csv",0.325,loss_gan,805904556.794,0.214,635772917.7843282,934349705.351,0.241,473067855.537,0.04,internet-traffic-data-in-bits-fr_EU_5m,bayes
